"agency_cd","site_no","dateTime","X_00010_00003","X_00010_00003_cd","X_00060_00003","X_00060_00003_cd","X_83554_00003","X_83554_00003_cd","X_99133_00003","X_99133_00003_cd","tz_cd"
"USGS",5482300,2008-03-28,NA,NA,478,"A",11.5,"A",8.9,"A","UTC"
"USGS",5482300,2008-03-29,NA,NA,458,"A",11.3,"A",9.1,"A","UTC"
"USGS",5482300,2008-03-30,NA,NA,495,"A",12.6,"A",9.35,"A","UTC"
"USGS",5482300,2008-03-31,NA,NA,665,"A",17.6,"A",9.42,"A","UTC"
"USGS",5482300,2008-04-01,NA,NA,1410,"A",42.9,"A",11.1,"A","UTC"
"USGS",5482300,2008-04-02,NA,NA,1300,"A",41.9,"A",12.1,"A","UTC"
"USGS",5482300,2008-04-03,NA,NA,1060,"A",33.3,"A",11.7,"A","UTC"
"USGS",5482300,2008-04-04,NA,NA,910,"A",28,"A",11.5,"A","UTC"
"USGS",5482300,2008-04-05,NA,NA,810,"A",24.8,"A",11.4,"A","UTC"
"USGS",5482300,2008-04-06,NA,NA,749,"A",22.9,"A",11.4,"A","UTC"
"USGS",5482300,2008-04-07,NA,NA,690,"A",21.1,"A",11.4,"A","UTC"
"USGS",5482300,2008-04-08,NA,NA,656,"A e",NA,NA,NA,NA,"UTC"
"USGS",5482300,2008-04-09,NA,NA,628,"A e",NA,NA,NA,NA,"UTC"
"USGS",5482300,2008-04-10,NA,NA,610,"A",18.5,"A",11.3,"A","UTC"
"USGS",5482300,2008-04-11,NA,NA,1390,"A",NA,NA,NA,NA,"UTC"
"USGS",5482300,2008-04-12,NA,NA,1960,"A",67.2,"A",12.7,"A","UTC"
"USGS",5482300,2008-04-13,NA,NA,1590,"A",55,"A",13,"A","UTC"
"USGS",5482300,2008-04-14,NA,NA,1310,"A",44.9,"A",12.8,"A","UTC"
"USGS",5482300,2008-04-15,NA,NA,1160,"A",39.4,"A",12.7,"A","UTC"
"USGS",5482300,2008-04-16,NA,NA,1040,"A",35.7,"A",12.8,"A","UTC"
"USGS",5482300,2008-04-17,NA,NA,920,"A",31,"A",12.6,"A","UTC"
"USGS",5482300,2008-04-18,NA,NA,890,"A",28.9,"A",12,"A","UTC"
"USGS",5482300,2008-04-19,NA,NA,1040,"A",33.7,"A",12,"A","UTC"
"USGS",5482300,2008-04-20,NA,NA,1060,"A",35,"A",12.3,"A","UTC"
"USGS",5482300,2008-04-21,NA,NA,970,"A",32.5,"A",12.5,"A","UTC"
"USGS",5482300,2008-04-22,NA,NA,875,"A",29.1,"A",12.4,"A","UTC"
"USGS",5482300,2008-04-23,NA,NA,795,"A",26.1,"A",12.2,"A","UTC"
"USGS",5482300,2008-04-24,NA,NA,750,"A",24.5,"A",12.1,"A","UTC"
"USGS",5482300,2008-04-25,NA,NA,1050,"A",33.6,"A",11.6,"A","UTC"
"USGS",5482300,2008-04-26,NA,NA,1400,"A",46.8,"A",12.4,"A","UTC"
"USGS",5482300,2008-04-27,NA,NA,1210,"A",41.7,"A",12.9,"A","UTC"
"USGS",5482300,2008-04-28,NA,NA,1030,"A",35.7,"A",12.9,"A","UTC"
"USGS",5482300,2008-04-29,NA,NA,912,"A",31.2,"A",12.7,"A","UTC"
"USGS",5482300,2008-04-30,NA,NA,844,"A",28.8,"A",12.7,"A","UTC"
